0,0008
0,0007
0,0008
0,0009
0,001
0,0011
0,0012
0,0013
0,0013
0,0014
0,0015
0,0016
0,0017
0,0017
0,0018
0,0018
0,0019
0,002
0,0021
0,0022
0,0023
0,0023
0,0026
0,0027
0,0026
0,0027
0,0028
0,0029
0,0029
0,0031
0,0038
0,0039
0,0033
0,0034
0,0035
0,0034
0,0036
0,0036
0,0037
0,0038
0,004
0,0042
0,0042
0,004
0,0042
0,0041
0,0043
0,0045
0,0046
0,0046
0,0047
0,0049
0,0048
0,0049
0,005
0,0052
0,0052
0,0054
0,0053
0,0055
0,0057
0,006
0,0059
0,0059
0,0066
0,006
0,006
0,0067
0,0064
0,0065
0,0065
0,0064
0,0066
0,0065
0,0065
0,0066
0,0068
0,0071
0,0073
0,0071
0,0075
0,0074
0,0078
0,0072
0,0072
0,0075
0,0076
0,0074
0,0078
0,0079
0,0078
0,008
0,0081
0,0085
0,0083
0,0083
0,0125
0,0084
0,0085
0,0087
0,0088
0,0086
0,0089
0,009
0,0091
0,0091
0,0097
0,0091
0,0096
0,0095
0,0094
0,0103
0,0101
0,0101
0,01
0,0104
0,0103
0,01
0,0104
0,0105
0,0106
0,0104
0,0108
0,0122
0,0112
0,0108
0,0109
0,0114
0,0124
0,0117
0,0113
0,0113
0,0122
0,012
0,0119
0,0124
0,0124
0,0121
0,0123
0,0125
0,0125
0,0126
0,0125
0,0128
0,0134
0,0124
0,0123
0,013
0,0129
0,0132
0,0134
0,0144
0,0141
0,0128
0,0139
0,0139
0,0133
0,0131
0,0133
0,0142
0,014
0,0147
0,0147
0,0146
0,0145
0,0143
0,0145
0,0151
0,0147
0,0146
0,0147
0,014
0,0148
0,0146
0,0149
0,0156
0,015
0,0153
0,0151
0,0164
0,0164
0,0164
0,0155
0,0157
0,0154
0,0164
0,0167
0,017
0,0172
0,0169
0,0169
0,0184
0,016
0,0173
0,0161
0,0167
0,0165
0,0172
0,017
0,0176
0,0164
0,0174
0,0169
0,0169
0,0172
0,0189
0,0184
0,019
0,0179
0,0185
0,0186
0,0193
0,0189
0,0179
0,0189
0,0191
0,019
0,0191
0,0202
0,0202
0,0182
0,0196
0,0197
0,0192
0,0193
0,02
0,0207
0,0212
0,0214
0,0194
0,0209
0,0216
0,0191
0,0191
0,0192
0,0195
0,0197
0,0197
0,0203
0,0218
0,0219
0,0209
0,0207
0,0202
0,0202
0,0205
0,0213
0,0209
0,0208
0,0213
0,0216
0,0229
0,0248
0,0215
0,0215
0,0225
0,0209
0,0216
0,022
0,022
0,0222
0,0236
0,0229
0,0244
0,0278
0,0233
0,0237
0,024
0,022
0,0217
0,0236
0,0242
0,0226
0,0235
0,0238
0,023
0,0233
0,023
0,0232
0,0234
0,0248
0,024
0,0235
0,0241
0,0245
0,0245
0,0244
0,0236
0,0242
0,0263
0,0263
0,0265
0,026
0,0242
0,0251
0,0255
0,0248
0,0247
0,0245
0,0252
0,0281
0,026
0,0256
0,0255
0,0259
0,0265
0,0259
0,0264
0,026
0,0262
0,0255
0,0255
0,0263
0,0257
0,0282
0,0279
0,0258
0,0262
0,0268
0,0264
0,0267
0,0263
0,0269
0,0401
0,0412
0,0286
0,0295
0,0275
0,6643
0,0282
0,0293
0,0296
0,0303
0,0822
0,0278
0,0289
0,0276
0,0284
0,0299
0,0284
0,0301
0,0603
0,0428
0,0298
0,0283
0,0369
0,0292
0,0303
0,0642
0,0289
0,0451
0,0299
0,0292
0,0306
0,0293
0,0499
0,1648
0,0297
0,0306
0,0854
0,0297
0,0303
0,0303
0,0308
0,0332
0,0306
0,0301
0,0323
0,0314
0,0313
0,0312
0,0309
0,0311
0,0308
0,0307
0,0344
0,0314
0,0306
0,0316
0,033
0,0322
0,0326
0,032
0,0327
0,0321
0,0317
0,0365
0,0495
0,0326
0,0337
0,032
0,0528
